Time_in_ms	MagX	MagY	MagZ	Bearing
121963	-28.85	-150.23	97.53	259.13
122238	-25.82	-159.72	106.61	260.82
122514	-24.30	-154.98	113.41	261.09
122789	-41.00	-156.56	93.00	255.32
123065	-30.37	-151.81	113.41	258.69
123335	-34.93	-150.23	106.61	256.91
123611	-39.48	-158.14	108.87	255.98
123889	-34.93	-137.58	106.61	255.76
124165	-36.45	-158.14	108.87	257.02
124440	-37.96	-159.72	102.07	256.63
124715	-47.08	-143.91	111.14	251.89
124991	-27.34	-142.33	108.87	259.13
125267	-42.52	-151.81	108.87	254.35
125546	-25.82	-143.91	88.46	259.83
125820	-34.93	-153.40	106.61	257.17
126097	-39.48	-145.49	99.80	254.82
126371	-34.93	-143.91	106.61	256.36
126648	-24.30	-158.14	122.48	261.26
126923	-37.96	-143.91	111.14	255.22
127200	-31.89	-150.23	93.00	258.02
127477	-37.96	-140.74	88.46	254.90
127754	-37.96	-147.07	106.61	255.53
128028	-28.85	-153.40	93.00	259.35
128305	-42.52	-148.65	104.34	254.04
128580	-34.93	-156.56	93.00	257.42
128856	-42.52	-142.33	108.87	253.37
129126	-33.41	-158.14	99.80	258.07
129402	-34.93	-150.23	97.53	256.91
129679	-22.78	-159.72	106.61	261.88
129949	-22.78	-159.72	93.00	261.88
130225	-34.93	-140.74	102.07	256.06
130501	-25.82	-156.56	106.61	260.64
130777	-28.85	-159.72	106.61	259.76
131055	-15.19	-142.33	95.27	263.91
131331	-30.37	-126.51	113.41	256.50
131606	-7.59	-140.74	93.00	266.91
131881	-24.30	-132.84	108.87	259.63
132158	-25.82	-150.23	106.61	260.25
132434	-37.96	-150.23	97.53	255.82
132710	-31.89	-156.56	106.61	258.49
132989	-36.45	-151.81	108.87	256.50
133272	-53.15	-150.23	102.07	250.52
133548	-37.96	-159.72	115.68	256.63
133824	-39.48	-154.98	122.48	255.71
134094	-44.04	-166.05	115.68	255.15
134365	-51.63	-161.30	104.34	252.25
134641	-62.26	-156.56	97.53	248.31
134918	-56.19	-159.72	88.46	250.62
135188	-37.96	-162.88	115.68	256.88
135463	-53.15	-153.40	120.22	250.89
135740	-39.48	-161.30	145.17	256.25
136015	-31.89	-156.56	120.22	258.49
136292	-39.48	-161.30	127.02	256.25
136569	-45.56	-161.30	113.41	254.23
136846	-33.41	-161.30	131.56	258.30
137120	-36.45	-158.14	113.41	257.02
137397	-45.56	-161.30	122.48	254.23
137666	-51.63	-170.79	108.87	253.18
137943	-44.04	-172.37	102.07	255.67
138218	-41.00	-156.56	120.22	255.32
138492	-30.37	-173.95	117.95	260.10
138768	-50.11	-159.72	106.61	252.58
139043	-44.04	-169.21	124.75	255.41
139319	-53.15	-156.56	102.07	251.25
139594	-30.37	-158.14	104.34	259.13
139870	-37.96	-162.88	115.68	256.88
140148	-36.45	-164.47	99.80	257.51
140423	-28.85	-143.91	111.14	258.66
140698	-30.37	-158.14	81.66	259.13
140975	-31.89	-162.88	111.14	258.92
141250	-28.85	-140.74	97.53	258.41
141527	-33.41	-158.14	108.87	258.07
141803	-28.85	-143.91	106.61	258.66
142080	-24.30	-145.49	99.80	260.52
142356	-28.85	-153.40	93.00	259.35
142630	-19.74	-153.40	120.22	262.67
142907	-28.85	-143.91	102.07	258.66
143181	-36.45	-154.98	104.34	256.77
143458	-41.00	-140.74	97.53	253.76
143734	-24.30	-154.98	104.34	261.09
144011	-28.85	-150.23	111.14	259.13
144285	-39.48	-148.65	122.48	255.13
144562	-33.41	-151.81	99.80	257.59
144837	-48.59	-142.33	113.41	251.15
145114	-37.96	-143.91	88.46	255.22
145389	-54.67	-142.33	104.34	248.99
145668	-42.52	-154.98	108.87	254.66
145942	-39.48	-145.49	136.09	254.82
146219	-45.56	-154.98	127.02	253.62
146493	-44.04	-150.23	102.07	253.66
146768	-31.89	-162.88	97.53	258.92
147045	-30.37	-158.14	95.27	259.13
147323	-36.45	-145.49	99.80	255.94
147598	-16.71	-156.56	106.61	263.91
147874	-39.48	-148.65	104.34	255.13
148149	-36.45	-154.98	113.41	256.77
148425	-37.96	-143.91	93.00	255.22
148701	-33.41	-151.81	127.02	257.59
148977	-42.52	-148.65	113.41	254.04
149255	-31.89	-140.74	111.14	257.23
149530	-37.96	-150.23	111.14	255.82
149806	-45.56	-148.65	108.87	252.96
150081	-28.85	-143.91	102.07	258.66
150351	-31.89	-147.07	129.29	257.77
150627	-31.89	-147.07	124.75	257.77
150903	-36.45	-148.65	99.80	256.22
151181	-39.48	-154.98	99.80	255.71
151456	-39.48	-151.81	104.34	255.42
151732	-44.04	-156.56	111.14	254.29
152007	-28.85	-140.74	120.22	258.41
152278	-37.96	-147.07	124.75	255.53
152553	-48.59	-145.49	113.41	251.53
152832	-37.96	-150.23	88.46	255.82
153107	-30.37	-148.65	108.87	258.45
153382	-39.48	-154.98	122.48	255.71
153653	-37.96	-140.74	111.14	254.90
153928	-41.00	-153.40	111.14	255.04
154205	-42.52	-154.98	122.48	254.66
154475	-34.93	-143.91	102.07	256.36
154753	-27.34	-158.14	117.95	260.19
155028	-39.48	-158.14	99.80	255.98
155298	-37.96	-150.23	111.14	255.82
155574	-48.59	-148.65	99.80	251.90
155850	-44.04	-156.56	111.14	254.29
156127	-39.48	-151.81	90.73	255.42
156405	-39.48	-148.65	99.80	255.13
156680	-34.93	-150.23	115.68	256.91
156956	-36.45	-158.14	113.41	257.02
157231	-44.04	-166.05	115.68	255.15
157507	-44.04	-156.56	111.14	254.29
157782	-44.04	-150.23	106.61	253.66
158058	-37.96	-156.56	88.46	256.37
158334	-28.85	-150.23	97.53	259.13
158611	-34.93	-150.23	106.61	256.91
158886	-37.96	-150.23	93.00	255.82
159162	-37.96	-147.07	124.75	255.53
159432	-45.56	-145.49	95.27	252.61
159708	-33.41	-151.81	108.87	257.59
159984	-44.04	-143.91	102.07	252.98
160262	-42.52	-151.81	117.95	254.35
160538	-42.52	-142.33	86.19	253.37
160813	-37.96	-156.56	111.14	256.37
161089	-41.00	-153.40	111.14	255.04
161363	-24.30	-142.33	113.41	260.31
161639	-36.45	-145.49	108.87	255.94
